# md_1200K_96atom.extxyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     83      96      -568.147      -568.139      7.85908e-05      21.9534      22.0262      0.0477587      
     84      96      -568.132      -568.144      0.000124236      21.9553      21.9708      0.0463801      
     85      96      -567.976      -567.996      0.00020743      22.4154      22.3544      0.0452835      
     86      96      -567.99      -568.001      0.000112202      22.6679      22.613      0.0436439      
     87      96      -568.554      -568.541      0.000129632      22.5821      22.552      0.0418429      
     88      96      -569.463      -569.439      0.00024056      21.8527      21.8347      0.0407104      
     89      96      -570.066      -570.048      0.000185194      21.5007      21.4728      0.0389524      
     90      96      -570.36      -570.357      3.4872e-05      22.2642      22.2138      0.037509      
     91      96      -562.261      -562.182      0.000820895      26.4915      26.5849      0.0566512      
     92      96      -570.377      -570.369      9.01777e-05      22.6147      22.6505      0.0353906      
     93      96      -570.231      -570.216      0.000155048      22.4695      22.5226      0.0364507      
     94      96      -569.919      -569.91      9.30311e-05      23.0691      23.0995      0.0369014      
     95      96      -569.617      -569.635      0.000184045      23.536      23.4874      0.036622      
     96      96      -569.713      -569.749      0.000370819      22.9155      22.8469      0.0364663      
     97      96      -569.83      -569.869      0.000399092      22.5447      22.4911      0.0369059      
     98      96      -570.042      -570.066      0.000255206      22.2205      22.2495      0.0410901      
     99      96      -561.574      -561.491      0.000860674      26.8093      26.8903      0.0592461      
     100      96      -570.244      -570.251      6.80549e-05      21.2737      21.3654      0.0450869      
     101      96      -570.042      -570.062      0.000208367      21.1148      21.1993      0.0451679      
     102      96      -569.673      -569.709      0.000371826      21.7223      21.7476      0.0450769      
     103      96      -569.263      -569.331      0.000710099      22.3993      22.3278      0.042229      
     104      96      -569.335      -569.414      0.00082704      22.1176      21.9736      0.0385258      
     105      96      -569.373      -569.449      0.000794394      22.196      22.0511      0.0362907      
     106      96      -569.262      -569.322      0.000628418      22.6298      22.4982      0.0348352      
     107      96      -562.541      -562.463      0.000813827      25.1058      25.1867      0.0573062      
     108      96      -568.853      -568.848      4.97779e-05      21.9877      21.9861      0.0363796      
     109      96      -567.982      -567.968      0.000141985      22.4387      22.4466      0.0413096      
     110      96      -567.382      -567.379      3.35296e-05      23.0488      23.0058      0.043979      
     111      96      -566.89      -566.906      0.000167848      23.8114      23.6924      0.0445276      
     112      96      -567.002      -567.023      0.00021719      24.0819      23.9666      0.0432793      
     113      96      -567.495      -567.51      0.000155173      23.54      23.4444      0.0426595      
     114      96      -568.423      -568.432      9.5302e-05      21.9915      21.9537      0.0424643      
     115      96      -568.561      -568.586      0.000254429      21.9356      21.9078      0.0437622      
     116      96      -568.278      -568.343      0.000673723      22.777      22.6539      0.0479522      
     117      96      -568.046      -568.148      0.00105617      23.4388      23.2845      0.0493914      
     118      96      -568.174      -568.284      0.0011392      23.6208      23.4713      0.0479276      
     119      96      -568.824      -568.921      0.00100992      23.3408      23.2664      0.0466366      
     120      96      -569.844      -569.915      0.000740154      22.1977      22.1443      0.0440728      
     121      96      -570.504      -570.548      0.000454444      21.1842      21.1812      0.0428373      
     122      96      -570.702      -570.72      0.00018639      21.219      21.239      0.0404041      
     123      96      -581.179      -581.183      4.72794e-05      12.6133      12.6691      0.0178518      
     124      96      -571.368      -571.331      0.000388747      21.5181      21.5859      0.0347051      
     125      96      -570.752      -570.733      0.000195504      22.6344      22.6507      0.0365385      
     126      96      -570.124      -570.118      6.09087e-05      23.4955      23.4816      0.038365      
     127      96      -569.433      -569.435      2.1941e-05      23.7934      23.7871      0.041572      
     128      96      -569.045      -569.044      1.22876e-05      23.4254      23.4738      0.0408858      
     129      96      -568.889      -568.897      8.95126e-05      23.1891      23.1738      0.0377151      
     130      96      -568.825      -568.861      0.000371645      23.4666      23.3349      0.039534      
     131      96      -568.82      -568.869      0.000516305      23.596      23.4162      0.0448056      
     132      96      -568.828      -568.883      0.000563852      23.0273      22.8961      0.048106      
     133      96      -568.581      -568.625      0.000459412      22.7257      22.6017      0.0512199      
     134      96      -568.243      -568.269      0.000269169      22.7644      22.6616      0.0505175      
     135      96      -567.834      -567.827      7.34659e-05      22.6633      22.6144      0.048247      
     136      96      -567.328      -567.303      0.000261775      20.6888      20.7432      0.046561      
     137      96      -568.122      -568.117      5.81821e-05      22.6526      22.6067      0.0444464      
     138      96      -568.699      -568.713      0.000146119      22.1786      22.1002      0.0433512      
     139      96      -569.073      -569.104      0.000325826      21.764      21.6444      0.0396039      
     140      96      -569.058      -569.1      0.000438176      22.0902      21.9076      0.0388361      
     141      96      -568.544      -568.569      0.000263234      22.7672      22.6446      0.0369263      
     142      96      -568.128      -568.127      1.29123e-05      23.5868      23.5407      0.036802      
     143      96      -568.074      -568.041      0.000346903      24.0067      24.0361      0.0382071      
     144      96      -579.651      -579.653      1.89592e-05      15.5775      15.6463      0.0207555      
     145      96      -569.05      -569.006      0.000463897      22.723      22.7943      0.0410324      
     146      96      -569.705      -569.683      0.000227306      22.484      22.4783      0.0403426      
     147      96      -569.965      -569.954      0.000109616      22.1557      22.1337      0.0383524      
     148      96      -570.01      -570.01      3.65919e-06      21.9167      21.9365      0.0382499      
     149      96      -569.669      -569.679      0.000100929      22.3226      22.3109      0.0385147      
     150      96      -569.431      -569.442      0.000106686      22.3844      22.3547      0.0376876      
     151      96      -569.44      -569.432      8.49249e-05      21.6948      21.6919      0.0418185      
     152      96      -565.604      -565.615      0.000112392      23.7978      23.7826      0.0468337      
     153      96      -569.505      -569.47      0.000367346      21.859      21.9257      0.0444922      
     154      96      -569.367      -569.328      0.000402909      22.521      22.6008      0.043946      
     155      96      -569.256      -569.213      0.000447301      22.9234      22.9952      0.0410022      
     156      96      -569.075      -569.027      0.000496569      23.1898      23.2539      0.0389444      
     157      96      -568.765      -568.734      0.000317234      23.6839      23.7246      0.0389592      
     158      96      -568.741      -568.732      9.61956e-05      23.8938      23.8964      0.0379319      
     159      96      -569.109      -569.121      0.00012344      23.3018      23.2726      0.0370013      
     160      96      -565.257      -565.29      0.000344427      24.2822      24.2034      0.0471344      
     161      96      -569.693      -569.706      0.000137768      22.4103      22.3624      0.0373518      
     162      96      -569.583      -569.588      5.44446e-05      23.3936      23.3079      0.038255      
     163      96      -569.797      -569.794      3.39956e-05      23.3016      23.2228      0.0393266      
     164      96      -570.473      -570.461      0.000124327      21.6867      21.6784      0.0398815      
