# Displaced_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     73      2      -23.69      -23.6898      0.000122256      0.00344085      0.000879069      0.000855739      
     74      2      -23.69      -23.6903      0.000146961      2.77177e-06      0      8.25134e-07      
     75      2      -23.6909      -23.6906      0.00013967      0.00242197      0.000613775      0.000426836      
     76      2      -23.6903      -23.6906      0.000155925      3.68577e-06      0      1.50447e-06      
     77      2      -23.6906      -23.6906      6.3113e-06      0.00341358      0.000859033      0.000852421      
     78      2      -23.689      -23.6879      0.000567379      0.00345676      0.000901011      0.000852869      
     79      2      -23.6908      -23.6907      5.98811e-05      0.00337416      0.000847006      0.000843797      
     80      2      -23.69      -23.69      2.4837e-05      0.00242266      0.000619447      0.000428164      
     81      2      -23.6898      -23.6896      8.73092e-05      0.00340277      0.000874073      0.000846766      
     82      2      -23.6907      -23.6907      9.35084e-06      0.00241409      0.000612376      0.000427034      
     83      2      -23.6901      -23.6902      1.23281e-05      0.00343735      0.000875005      0.000854592      
     84      2      -23.6888      -23.6879      0.000457145      0.00424872      0.00111207      0.00128052      
     85      2      -23.6903      -23.6901      6.38108e-05      0.00341376      0.000868018      0.000849629      
     86      2      -23.691      -23.6908      7.40284e-05      0.0024169      0.000608113      0.000426927      
     87      2      -23.6905      -23.6906      4.17785e-05      0.00486221      0.00121767      0.00086489      
     88      2      -23.6904      -23.6907      0.000149532      0.00241195      0.000602477      0.000428352      
     89      2      -23.6897      -23.6903      0.000253004      0.00416091      0.0010435      0.00127264      
     90      2      -23.6903      -23.6907      0.000205196      0.00239239      0.000601074      0.00042453      
     91      2      -23.6902      -23.6901      3.08718e-05      0.00341055      0.000873023      0.000847214      
     92      2      -23.6894      -23.6884      0.000476476      0.00243567      0.00063218      0.000426537      
     93      2      -23.6895      -23.6887      0.000423963      0.0042179      0.00109247      0.00127594      
     94      2      -23.6905      -23.6905      2.68834e-05      0.00341355      0.000861015      0.000851117      
     95      2      -23.6899      -23.6897      7.1333e-05      0.00245026      0.000625129      0.000432936      
     96      2      -23.6902      -23.6906      0.000189642      2.83993e-06      0      9.00073e-07      
     97      2      -23.6895      -23.6888      0.000356911      0.00241167      0.000625114      0.000423578      
     98      2      -23.6887      -23.6893      0.000281079      0.0033693      0.00082906      0.000849973      
     99      2      -23.688      -23.6874      0.000285103      0.00426855      0.00112024      0.00128529      
     100      2      -23.6907      -23.6907      2.44301e-05      0.00240465      0.00061094      0.000423255      
     101      2      -23.6885      -23.6894      0.000468821      0.00239348      0.000588355      0.000429616      
     102      2      -23.6906      -23.69      0.000278754      0.0034384      0.000881006      0.000852454      
     103      2      -23.6895      -23.69      0.000273782      0.00340365      0.00084502      0.000854671      
     104      2      -23.6905      -23.6908      0.0001309      0.00240511      0.000599642      0.000427377      
     105      2      -23.6904      -23.6898      0.000312133      0.00343751      0.000880022      0.000852981      
     106      2      -23.6901      -23.6906      0.000221978      0.00341746      0.000856001      0.000853962      
     107      2      -23.6905      -23.6906      7.18101e-05      0.00335882      0.000839002      0.000839948      
     108      2      -23.6896      -23.6888      0.000404812      0.00343387      0.000891019      0.000849643      
     109      2      -23.6907      -23.69      0.000349516      0.00241726      0.000619429      0.000424      
     110      2      -23.6888      -23.6877      0.000532086      0.00419796      0.00108759      0.00126977      
     111      2      -23.6911      -23.691      4.91992e-05      0.00339823      0.000854004      0.000849277      
     112      2      -23.6898      -23.689      0.000373224      2.51021e-06      0      9.86951e-07      
     113      2      -23.6902      -23.69      0.000100197      2.78326e-06      0      1.08512e-06      
     114      2      -23.6902      -23.6906      0.000194599      0.00341673      0.000858001      0.00085318      
     115      2      -23.6902      -23.6906      0.000185859      0.00342051      0.000868007      0.000851359      
     116      2      -23.6898      -23.6902      0.000213596      0.00236513      0.000592589      0.000419525      
     117      2      -23.69      -23.6905      0.000221421      0.00338782      0.000850029      0.000847585      
     118      2      -23.6909      -23.6905      0.000212335      0.00341918      0.00087401      0.000849306      
     119      2      -23.6894      -23.6896      0.000117027      0.00338054      0.000832019      0.000851191      
     120      2      -23.6883      -23.6874      0.000445382      0.00420803      0.00109578      0.00127056      
     121      2      -23.69      -23.6896      0.000229201      0.00245348      0.000626524      0.000432432      
     122      2      -23.69      -23.6904      0.000199184      1.64942e-06      0      6.68439e-07      
     123      2      -23.69      -23.6906      0.000280423      0.00239298      0.000598227      0.000425693      
     124      2      -23.6888      -23.6891      0.000164568      0.00334548      0.000818007      0.000843342      
     125      2      -23.6898      -23.6901      0.000191295      0.00343992      0.000874077      0.000857703      
     126      2      -23.6901      -23.6905      0.000178585      0.00238      0.000593998      0.000422389      
     127      2      -23.6902      -23.6899      0.000192343      0.00345481      0.000886012      0.000857358      
# Elastic_FCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     128      4      -46.4378      -46.4379      3.38566e-05      0.00329586      0.00126595      0.000470845      
