LAMMPS   data file
    259 atoms
    205 bonds
    4 atom types
    1 bond types

0.000 5.000  xlo xhi
0.000 5.000  ylo yhi
0.000 9.000  zlo zhi

Masses

    1   1.000000
    2   1.000000
    3   1.000000
    4   1.000000

 Atoms

	    1	    1	    2	   0.329	   4.811	   0.599
	    2	    1	    2	   3.202	   3.428	   0.636
	    3	    1	    2	   2.451	   4.172	   8.974
	    4	    1	    2	   0.933	   4.428	   1.228
	    5	    1	    2	   0.926	   2.790	   1.900
	    6	    1	    2	   0.912	   2.821	   0.329
	    7	    2	    2	   4.631	   4.680	   1.476
	    8	    2	    2	   4.581	   0.653	   0.342
	    9	    2	    2	   0.253	   4.653	   2.079
	   10	    2	    2	   4.826	   0.250	   3.573
	   11	    2	    2	   1.591	   0.613	   3.640
	   12	    2	    2	   3.097	   4.677	   4.168
	   13	    3	    2	   4.918	   0.611	   1.530
	   14	    3	    2	   4.922	   2.094	   8.572
	   15	    3	    2	   1.973	   0.907	   8.716
	   16	    3	    2	   1.118	   1.692	   7.945
	   17	    3	    2	   1.536	   1.814	   6.198
	   18	    3	    2	   2.210	   1.474	   6.160
	   19	    4	    2	   0.486	   0.514	   8.173
	   20	    4	    2	   1.475	   4.391	   8.790
	   21	    4	    2	   0.805	   2.240	   8.560
	   22	    4	    2	   0.118	   2.894	   8.683
	   23	    4	    2	   1.492	   2.711	   0.356
	   24	    4	    2	   0.794	   3.928	   0.293
	   25	    5	    2	   0.240	   0.508	   8.280
	   26	    5	    2	   4.948	   4.706	   8.764
	   27	    5	    2	   3.962	   2.166	   8.191
	   28	    5	    2	   3.578	   1.942	   1.122
	   29	    5	    2	   0.061	   1.823	   1.493
	   30	    5	    2	   4.228	   3.082	   8.329
	   31	    6	    2	   4.467	   4.653	   7.790
	   32	    6	    2	   0.083	   4.448	   8.381
	   33	    6	    2	   0.731	   0.427	   8.286
	   34	    6	    2	   0.853	   0.115	   7.592
	   35	    6	    2	   4.796	   0.073	   6.251
	   36	    6	    2	   0.362	   4.418	   4.960
	   37	    7	    2	   4.800	   4.044	   7.830
	   38	    7	    2	   3.136	   4.103	   7.517
	   39	    7	    2	   2.947	   4.460	   8.831
	   40	    7	    2	   2.317	   0.502	   8.194
	   41	    7	    2	   2.785	   4.901	   0.032
	   42	    7	    2	   1.609	   0.711	   0.649
	   43	    8	    2	   4.976	   4.321	   0.763
	   44	    8	    2	   4.007	   1.937	   8.185
	   45	    8	    2	   3.931	   2.621	   0.591
	   46	    8	    2	   4.860	   3.201	   8.773
	   47	    8	    2	   4.834	   4.124	   8.257
	   48	    8	    2	   4.473	   1.011	   6.376
	   49	    9	    2	   0.649	   0.572	   7.407
	   50	    9	    2	   0.311	   0.016	   8.796
	   51	    9	    2	   0.954	   4.104	   8.052
	   52	    9	    2	   1.007	   2.571	   7.597
	   53	    9	    2	   1.255	   2.383	   6.665
	   54	    9	    2	   1.632	   1.593	   7.125
	   55	   10	    2	   0.304	   4.430	   1.960
	   56	   10	    2	   4.379	   3.732	   3.509
	   57	   10	    2	   3.028	   4.004	   2.827
	   58	   10	    2	   1.864	   4.460	   4.581
	   59	   10	    2	   1.508	   4.194	   4.823
	   60	   10	    2	   0.856	   1.250	   4.767
	   61	   11	    2	   1.072	   1.207	   8.498
	   62	   11	    2	   1.823	   1.152	   7.943
	   63	   11	    2	   0.652	   0.539	   0.524
	   64	   11	    2	   1.492	   0.017	   8.990
	   65	   11	    2	   4.238	   0.721	   1.838
	   66	   11	    2	   0.681	   4.953	   1.056
	   67	   12	    2	   0.388	   0.676	   0.305
	   68	   12	    2	   3.285	   4.969	   0.287
	   69	   12	    2	   1.916	   1.526	   8.504
	   70	   12	    2	   1.767	   2.767	   7.869
	   71	   12	    2	   0.271	   4.134	   0.502
	   72	   12	    2	   4.003	   3.745	   1.052
	   73	   13	    2	   4.220	   3.827	   7.478
	   74	   13	    2	   2.116	   3.386	   6.653
	   75	   13	    2	   1.829	   3.646	   5.734
	   76	   13	    2	   1.905	   1.940	   5.885
	   77	   13	    2	   2.126	   3.143	   5.079
	   78	   13	    2	   1.520	   1.594	   4.157
	   79	   14	    2	   0.151	   0.949	   7.016
	   80	   14	    2	   0.025	   0.471	   7.610
	   81	   14	    2	   0.472	   0.110	   0.418
	   82	   14	    2	   1.039	   0.932	   8.570
	   83	   14	    2	   4.879	   4.778	   0.993
	   84	   14	    2	   0.414	   4.629	   1.560
	   85	   15	    2	   4.823	   0.155	   8.980
	   86	   15	    2	   2.908	   4.682	   1.218
	   87	   15	    2	   2.040	   4.573	   1.800
	   88	   15	    2	   3.397	   1.403	   1.293
	   89	   15	    2	   3.739	   0.713	   1.262
	   90	   15	    2	   3.910	   0.831	   0.075
	   91	   16	    2	   0.207	   3.788	   1.201
	   92	   16	    2	   4.176	   3.903	   0.296
	   93	   16	    2	   0.145	   4.335	   8.786
	   94	   16	    2	   1.405	   4.981	   8.871
	   95	   16	    2	   0.992	   4.084	   8.801
	   96	   16	    2	   4.690	   4.442	   8.490
	   97	   17	    2	   4.434	   0.485	   7.870
	   98	   17	    2	   3.839	   3.577	   8.394
	   99	   17	    2	   3.788	   3.144	   0.367
	  100	   17	    2	   3.374	   0.378	   0.231
	  101	   17	    2	   1.332	   0.240	   1.631
	  102	   17	    2	   0.785	   1.016	   8.677
	  103	   18	    2	   4.743	   1.156	   0.921
	  104	   18	    2	   0.632	   0.041	   8.050
	  105	   18	    2	   2.871	   4.993	   7.157
	  106	   18	    2	   3.503	   4.788	   6.720
	  107	   18	    2	   3.332	   0.265	   6.592
	  108	   18	    2	   3.629	   2.675	   7.829
	  109	   19	    2	   1.200	   0.354	   0.753
	  110	   19	    2	   3.554	   0.365	   0.423
	  111	   19	    2	   3.997	   3.890	   0.138
	  112	   19	    2	   3.137	   3.330	   0.897
	  113	   19	    2	   2.197	   4.448	   1.581
	  114	   19	    2	   2.836	   4.786	   2.311
	  115	   20	    2	   0.833	   3.961	   7.518
	  116	   20	    2	   0.210	   1.630	   7.999
	  117	   20	    2	   0.701	   2.278	   6.727
	  118	   20	    2	   0.012	   2.499	   6.067
	  119	   20	    2	   0.141	   2.927	   3.899
	  120	   20	    2	   1.326	   3.123	   4.428
	  121	   21	    2	   0.935	   0.020	   8.348
	  122	   21	    2	   1.768	   1.007	   1.272
	  123	   21	    2	   4.991	   1.859	   8.856
	  124	   21	    2	   3.314	   2.703	   0.223
	  125	   21	    2	   3.453	   1.316	   0.014
	  126	   21	    2	   0.000	   2.083	   7.748
	  127	   22	    2	   1.118	   4.407	   8.937
	  128	   22	    2	   0.109	   0.602	   0.459
	  129	   22	    2	   0.858	   0.864	   1.610
	  130	   22	    2	   1.791	   4.775	   2.012
	  131	   22	    2	   3.192	   3.670	   0.047
