# Bulk.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      8      -38.6775      -38.7277      0.00627444      1.86715e-14      0      3.43675e-15      
# EOS.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     75      8      -37.2712      -37.2364      0.00434145      1.9184e-15      0      3.2555e-16      
     76      8      -37.3865      -37.3668      0.00246332      2.42677e-14      0      4.06672e-15      
     77      8      -37.4804      -37.4616      0.00235547      3.40892e-14      0      5.53037e-15      
     78      8      -37.5702      -37.5524      0.00222411      2.95587e-14      0      4.85108e-15      
     79      8      -37.6558      -37.6393      0.00206804      2.41872e-14      0      4.62696e-15      
     80      8      -37.7374      -37.7223      0.00188696      2.49983e-14      0      3.30823e-15      
     81      8      -37.815      -37.8016      0.00168328      3.03452e-14      0      5.17681e-15      
     82      8      -37.8888      -37.8775      0.00141252      1.94263e-14      0      3.38347e-15      
     83      8      -37.9586      -37.9493      0.00115983      2.22949e-15      0      3.46258e-16      
     84      8      -38.0247      -38.0177      0.000882881      4.22741e-14      0      6.22603e-15      
     85      8      -38.0871      -38.0824      0.000583367      3.63173e-14      0      6.63628e-15      
     86      8      -36.9573      -36.923      0.00428357      8.22327e-15      0      1.27327e-15      
     87      8      -38.1459      -38.1437      0.000265806      4.05971e-14      0      6.27721e-15      
     88      8      -38.201      -38.2016      7.14784e-05      1.47878e-14      0      2.32695e-15      
     89      8      -38.2527      -38.2561      0.000424807      4.01889e-14      0      5.61273e-15      
     90      8      -38.301      -38.3074      0.000790824      1.8022e-14      0      2.74001e-15      
     91      8      -38.346      -38.3553      0.00116814      3.55749e-13      0      5.39945e-14      
     92      8      -38.3877      -38.4001      0.00155677      1.3425e-14      0      2.24869e-15      
     93      8      -38.4262      -38.4418      0.00194658      1.90057e-15      0      3.09829e-16      
     94      8      -38.4616      -38.4804      0.00234491      2.24557e-14      0      4.24387e-15      
     95      8      -38.4941      -38.516      0.00273793      2.11074e-14      0      3.43987e-15      
     96      8      -38.5235      -38.5486      0.00312722      1.42838e-14      0      2.34146e-15      
     97      8      -36.4667      -36.4258      0.00510544      1.43883e-15      0      2.60714e-16      
     98      8      -38.5502      -38.5782      0.00350548      9.97593e-15      0      1.67206e-15      
     99      8      -38.5741      -38.6051      0.00387821      3.219e-14      0      5.0649e-15      
     100      8      -38.5952      -38.6291      0.00423366      2.07556e-14      0      3.3603e-15      
     101      8      -38.6138      -38.6504      0.00456733      1.67718e-15      0      2.60979e-16      
     102      8      -38.6299      -38.669      0.00488185      2.93422e-14      0      4.81688e-15      
     103      8      -38.6435      -38.6849      0.00517405      2.09793e-15      0      3.63673e-16      
     104      8      -38.6548      -38.6983      0.00543738      8.63399e-15      0      1.40284e-15      
     105      8      -38.6637      -38.709      0.00566841      2.39001e-14      0      3.90771e-15      
     106      8      -38.6704      -38.7174      0.00587226      1.98504e-14      0      3.14407e-15      
     107      8      -38.6749      -38.7232      0.00603764      4.03429e-14      0      6.34356e-15      
     108      8      -35.8263      -35.7828      0.00543951      4.87406e-16      0      7.42317e-17      
     109      8      -38.6772      -38.7266      0.00617487      2.56012e-15      0      4.26347e-16      
     110      8      -38.6775      -38.7277      0.00627444      1.86715e-14      0      3.43675e-15      
     111      8      -38.6757      -38.7264      0.00633868      1.7987e-14      0      2.96951e-15      
     112      8      -38.6719      -38.7228      0.00636972      8.56347e-15      0      1.61071e-15      
     113      8      -38.6661      -38.7171      0.00637333      3.51768e-14      0      6.17365e-15      
     114      8      -38.6583      -38.7091      0.00634426      1.21669e-14      0      1.94723e-15      
     115      8      -38.6486      -38.699      0.00628937      2.70525e-14      0      4.17721e-15      
     116      8      -38.637      -38.6867      0.00620817      1.8543e-14      0      3.31664e-15      
     117      8      -38.6235      -38.6724      0.00610678      1.69986e-14      0      3.1292e-15      
     118      8      -38.6081      -38.656      0.00598729      2.55166e-15      0      4.10748e-16      
     119      8      -35.06      -35.0268      0.00414733      1.53927e-15      0      2.38019e-16      
     120      8      -38.5908      -38.6376      0.00584918      2.38734e-14      0      3.98131e-15      
     121      8      -38.5717      -38.6173      0.00569562      1.63269e-15      0      2.64235e-16      
     122      8      -38.5508      -38.595      0.00553048      1.49468e-14      0      2.66643e-15      
     123      8      -38.5281      -38.5709      0.00535709      1.11107e-14      0      1.77521e-15      
     124      8      -38.5035      -38.5448      0.00516089      1.0434e-14      0      1.81571e-15      
     125      8      -38.4773      -38.5169      0.00495615      1.37315e-14      0      2.30759e-15      
     126      8      -38.4493      -38.4872      0.00474584      1.9189e-15      0      3.17613e-16      
     127      8      -38.4196      -38.4558      0.00453083      8.76959e-15      0      1.49254e-15      
     128      8      -38.3882      -38.4227      0.0043149      7.51394e-16      0      1.08673e-16      
     129      8      -38.3551      -38.3879      0.00409476      2.52987e-14      0      4.37324e-15      
     130      8      -34.1967      -34.1845      0.00151613      1.38364e-15      0      2.70545e-16      
     131      8      -38.3204      -38.3514      0.00387589      7.19703e-16      0      1.12179e-16      
     132      8      -38.2841      -38.3134      0.00365979      1.09829e-14      0      2.05379e-15      
     133      8      -38.2462      -38.2738      0.00344355      1.53868e-14      0      2.3094e-15      
