# Displaced_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   73    2    -23.6871    -23.6898    0.00131469    0.000776724    0.000879069    3.60977e-05    
   74    2    -23.6907    -23.6903    0.000225177    6.25099e-07    0    1.86978e-07    
   75    2    -23.6885    -23.6906    0.00104249    0.000536732    0.000613775    1.88771e-05    
   76    2    -23.6897    -23.6906    0.000461612    8.07915e-07    0    3.29679e-07    
   77    2    -23.6893    -23.6906    0.000634015    0.000754295    0.000859033    3.60641e-05    
   78    2    -23.6834    -23.6879    0.0022436    0.000793584    0.000901011    3.68983e-05    
   79    2    -23.6896    -23.6907    0.000544245    0.00075052    0.000847006    3.30101e-05    
   80    2    -23.6874    -23.69    0.00130968    0.00054335    0.000619447    2.02146e-05    
   81    2    -23.6868    -23.6896    0.00142265    0.000768137    0.000874073    3.83738e-05    
   82    2    -23.6888    -23.6907    0.000920028    0.000538617    0.000612376    1.93332e-05    
   83    2    -23.6881    -23.6902    0.0010282    0.000767576    0.000875005    3.5928e-05    
   84    2    -23.6836    -23.6879    0.00214226    0.000983337    0.00111207    5.25616e-05    
   85    2    -23.6877    -23.6901    0.00123268    0.000747701    0.000868018    4.13626e-05    
   86    2    -23.6895    -23.6908    0.00065063    0.000531685    0.000608113    1.89951e-05    
   87    2    -23.6896    -23.6906    0.000486545    0.00105831    0.00121767    4.18153e-05    
   88    2    -23.6903    -23.6907    0.000154692    0.000529443    0.000602477    1.92212e-05    
   89    2    -23.6898    -23.6903    0.000216272    0.000924912    0.0010435    4.85199e-05    
   90    2    -23.6901    -23.6907    0.00030118    0.000534778    0.000601074    1.76076e-05    
   91    2    -23.6879    -23.6901    0.00111396    0.000779636    0.000873023    3.24496e-05    
   92    2    -23.6842    -23.6884    0.00209608    0.000550295    0.00063218    2.09775e-05    
   93    2    -23.6848    -23.6887    0.00195813    0.000956369    0.00109247    5.5623e-05    
   94    2    -23.6893    -23.6905    0.000636936    0.000757    0.000861015    3.46806e-05    
   95    2    -23.687    -23.6897    0.0013473    0.000539132    0.000625129    2.24311e-05    
   96    2    -23.6902    -23.6906    0.000196682    6.37141e-07    0    2.01479e-07    
   97    2    -23.685    -23.6888    0.0018839    0.000550786    0.000625114    1.96056e-05    
   98    2    -23.6912    -23.6893    0.000946692    0.000746248    0.00082906    3.03127e-05    
   99    2    -23.6832    -23.6874    0.00207067    0.000999261    0.00112024    4.93927e-05    
   100    2    -23.6888    -23.6907    0.000941877    0.000539655    0.00061094    1.68867e-05    
   101    2    -23.6912    -23.6894    0.000896419    0.000523621    0.000588355    1.85324e-05    
   102    2    -23.687    -23.69    0.00150541    0.000773098    0.000881006    3.62546e-05    
   103    2    -23.6911    -23.69    0.000523819    0.000761095    0.00084502    2.97128e-05    
   104    2    -23.6905    -23.6908    0.000114577    0.000530496    0.000599642    1.78782e-05    
   105    2    -23.6867    -23.6898    0.00155348    0.000768693    0.000880022    3.75303e-05    
   106    2    -23.6903    -23.6906    0.000109603    0.000761034    0.000856001    3.19472e-05    
   107    2    -23.6901    -23.6906    0.000240436    0.000739193    0.000839002    3.36092e-05    
   108    2    -23.6848    -23.6888    0.00196105    0.000785628    0.000891019    3.67545e-05    
   109    2    -23.6868    -23.69    0.00159167    0.000545141    0.000619429    1.79896e-05    
   110    2    -23.6832    -23.6877    0.00222652    0.000932239    0.00108759    6.34232e-05    
   111    2    -23.69    -23.691    0.000498302    0.000757863    0.000854004    3.26672e-05    
   112    2    -23.6852    -23.689    0.00189061    5.6616e-07    0    2.2412e-07    
   113    2    -23.6875    -23.69    0.0012254    6.15645e-07    0    2.42472e-07    
   114    2    -23.6901    -23.6906    0.000260961    0.000760378    0.000858001    3.30773e-05    
   115    2    -23.6894    -23.6906    0.000603024    0.000776519    0.000868007    3.09127e-05    
   116    2    -23.6904    -23.6902    9.3764e-05    0.000533873    0.000592589    1.569e-05    
   117    2    -23.6905    -23.6905    8.23239e-07    0.000764634    0.000850029    3.02071e-05    
   118    2    -23.6878    -23.6905    0.0013161    0.000771335    0.00087401    3.50199e-05    
   119    2    -23.6909    -23.6896    0.00065962    0.000733202    0.000832019    3.43113e-05    
   120    2    -23.683    -23.6874    0.00220976    0.00094182    0.00109578    6.28736e-05    
   121    2    -23.6865    -23.6896    0.00154027    0.000538147    0.000626524    2.2346e-05    
   122    2    -23.689    -23.6904    0.000700302    3.23536e-07    0    1.31469e-07    
   123    2    -23.6906    -23.6906    1.01071e-05    0.00053184    0.000598227    1.77308e-05    
   124    2    -23.6911    -23.6891    0.00101049    0.000724988    0.000818007    3.18504e-05    
   125    2    -23.6886    -23.6901    0.000788194    0.000779955    0.000874077    3.38409e-05    
   126    2    -23.6906    -23.6905    5.42826e-05    0.000533464    0.000593998    1.5847e-05    
   127    2    -23.6869    -23.6899    0.0014586    0.000781141    0.000886012    3.60901e-05    
# Elastic_FCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   128    4    -46.4366    -46.4379    0.000322993    0.000842669    0.00126595    0.000146396    
   129    4    -46.439    -46.4385    0.000126369    0.000894742    0.00149255    0.000163589    
   130    4    -46.4344    -46.4364    0.000488021    0.00054999    0.000810592    9.96031e-05    
   131    4    -46.4395    -46.4416    0.000521555    0.00102748    0.00128368    8.44612e-05    
