# Reference: Table 1 of Thermodynamic and structural properties of model systems at solid-fluid coexistence II. 
# Melting and sublimation of the Lennard-Jones system, R. Agrawal and D. A. Kofke, Mol. Phys. 85, 43-59 (1995).
# Temperature Pressure
7.6109293 170
5.5919029 109.6
4.2813718 74
3.3827211 51.6
2.739726 36.9
2.1691974 24.711
1.7482517 16.5643
1.4430014 11.1034
1.2210012 7.4428
1.0604454 4.9891
0.94607379 3.3443
0.86580087 2.2417
0.80906149 1.5027
0.76982294 1.0073
